City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Albany,42.6001,-73.9662,23.0,50,99,1.01,US,1612199914
Alofi,-19.0595,-169.9187,75.2,100,90,4.61,NU,1612200185
Tuktoyaktuk,69.4541,-133.0374,-20.2,76,90,5.75,CA,1612200185
Buala,-8.145,159.5921,81.1,78,100,13.87,SB,1612200185
Yellowknife,62.456,-114.3525,-4.0,77,75,8.05,CA,1612199896
Provideniya,64.3833,-173.3,8.69,93,100,28.81,RU,1612200185
Konstantinovka,49.6167,127.9833,-28.48,80,28,6.29,RU,1612200185
Port Alfred,-33.5906,26.891,66.99,70,75,9.86,ZA,1612200185
Ushuaia,-54.8,-68.3,51.8,71,20,31.07,AR,1612200185
Airai,-8.9266,125.4092,61.59,100,99,2.62,TL,1612200185
Vaini,-21.2,-175.2,75.2,100,90,28.77,TO,1612200185
Chupa,66.27,33.0549,7.88,95,99,3.0,RU,1612200185
Kununurra,-15.7667,128.7333,78.8,100,90,4.61,AU,1612200186
Moose Factory,51.2585,-80.6094,-2.2,78,1,5.75,CA,1612200186
Saint Paul Harbor,57.79,-152.4072,28.4,64,1,8.05,US,1612200186
Bobo-Dioulasso,11.1771,-4.2979,91.4,18,0,6.91,BF,1612200186
New Norfolk,-42.7826,147.0587,53.01,58,3,3.0,AU,1612200186
Leer,8.3018,30.1418,86.86,19,6,3.4,SS,1612200186
Rikitea,-23.1203,-134.9692,77.43,79,50,17.07,PF,1612200186
Port Elizabeth,-33.918,25.5701,66.2,55,40,8.05,ZA,1612200186
Zhoucheng,35.9122,116.3117,32.18,72,0,9.1,CN,1612200186
Gainesville,29.6516,-82.3248,48.99,71,90,16.11,US,1612200161
Bilibino,68.0546,166.4372,-6.79,85,100,10.83,RU,1612200186
Mataura,-46.1927,168.8643,50.76,91,9,1.72,NZ,1612200186
Mahébourg,-20.4081,57.7,80.6,89,75,8.05,MU,1612200187
Te Anau,-45.4167,167.7167,51.01,88,22,1.07,NZ,1612200187
Butaritari,3.0707,172.7902,80.96,85,30,16.22,KI,1612200187
Hermanus,-34.4187,19.2345,69.01,63,0,7.0,ZA,1612200187
Dargaville,-35.9333,173.8833,55.06,90,0,3.2,NZ,1612200187
Itarema,-2.9248,-39.9167,88.11,57,63,17.92,BR,1612200187
Hilo,19.7297,-155.09,64.4,68,75,6.91,US,1612200153
Dikson,73.5069,80.5464,-24.18,83,51,11.14,RU,1612200187
Ponta do Sol,32.6667,-17.1,61.0,70,21,3.0,PT,1612200187
Rovaniemi,66.5,25.7167,3.2,92,90,5.75,FI,1612200187
Hobart,-42.8794,147.3294,55.4,71,40,8.05,AU,1612200187
Songkhla,6.8333,100.6667,77.0,94,40,7.58,TH,1612200187
Pangnirtung,66.1451,-65.7125,-14.8,58,1,14.97,CA,1612200188
Karratha,-20.7377,116.8463,77.85,90,100,23.8,AU,1612200188
Lumphat,13.4878,106.9816,70.99,66,14,7.99,KH,1612200188
Bredasdorp,-34.5322,20.0403,66.2,59,0,14.97,ZA,1612200188
Hong Kong,22.2855,114.1577,66.99,84,58,6.51,HK,1612200105
Sinnamary,5.3833,-52.95,79.56,76,100,14.25,GF,1612200188
Bluff,-46.6,168.3333,54.68,91,14,6.96,NZ,1612200188
São Filipe,14.8961,-24.4956,76.86,59,0,9.69,CV,1612200188
Nikolskoye,59.7035,30.7861,26.6,80,40,13.42,RU,1612200188
Baruun-Urt,46.6806,113.2792,-16.8,83,100,8.48,MN,1612200188
Svolvær,68.2342,14.5683,28.4,93,40,4.61,NO,1612200188
Mazarrón,37.5992,-1.3149,73.4,33,0,3.44,ES,1612200188
Mocuba,-16.8392,36.9856,78.64,93,79,4.61,MZ,1612200188
Bethel,41.3712,-73.414,26.6,80,90,17.27,US,1612200189
Torbay,47.6666,-52.7314,30.0,80,75,19.57,CA,1612200189
Touros,-5.1989,-35.4608,86.0,54,40,21.85,BR,1612200189
Panjāb,34.388,67.0233,14.31,80,37,2.42,AF,1612200189
Sistranda,63.7256,8.834,28.4,80,75,14.97,NO,1612200189
Busselton,-33.65,115.3333,68.0,67,0,3.0,AU,1612200189
Hithadhoo,-0.6,73.0833,83.14,73,26,8.05,MV,1612200189
Nālūt,30.3333,10.85,57.34,48,0,12.97,LY,1612200189
Aklavik,68.2191,-135.0107,-16.6,76,100,6.91,CA,1612200189
Ribeira Grande,38.5167,-28.7,62.6,77,40,23.02,PT,1612200189
Khatanga,71.9667,102.5,-30.59,83,0,9.66,RU,1612200189
Cabo San Lucas,22.8909,-109.9124,75.99,83,75,6.91,MX,1612200189
Tura,25.5198,90.2201,56.55,49,0,1.66,IN,1612200189
Saint-Pierre,-21.3393,55.4781,82.4,69,0,9.22,RE,1612200189
Litovko,49.2361,135.1742,-8.55,91,100,1.88,RU,1612200190
Laas,46.6166,10.7002,41.0,80,0,0.38,IT,1612200190
Cidreira,-30.1811,-50.2056,81.57,73,1,5.23,BR,1612200190
Punta Arenas,-53.15,-70.9167,59.0,55,40,34.52,CL,1612199964
Tabou,4.423,-7.3528,81.95,80,64,8.32,CI,1612200190
Thompson,55.7435,-97.8558,12.2,85,75,3.44,CA,1612200190
Atar,20.5169,-13.0499,89.08,10,21,12.24,MR,1612200190
