,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hualmay,-11.0964,-77.6139,294.28,81,99,4.47,PE,1612149962
1,Saint Paul Harbor,57.79,-152.4072,272.15,64,1,2.57,US,1612149962
2,Srednekolymsk,67.45,153.6833,243.34,86,100,3.61,RU,1612149668
3,Tuktoyaktuk,69.4541,-133.0374,240.15,75,20,1.54,CA,1612149962
4,Jamestown,42.097,-79.2353,270.37,80,90,3.6,US,1612149962
5,East London,-33.0153,27.9116,294.15,78,75,10.29,ZA,1612149962
6,Rikitea,-23.1203,-134.9692,299.64,61,22,2.93,PF,1612149962
7,Verkhnevilyuysk,63.4453,120.3167,233.54,80,99,2.68,RU,1612149962
8,Puerto Ayora,-0.7393,-90.3518,298.71,90,44,1.79,EC,1612149962
9,Port Elizabeth,-33.918,25.5701,292.15,77,40,7.2,ZA,1612149963
10,Porangatu,-13.4408,-49.1486,296.03,80,49,0.2,BR,1612149963
11,Bluff,-46.6,168.3333,289.11,68,37,7.05,NZ,1612149963
12,Kulhudhuffushi,6.6221,73.07,300.87,73,100,4.12,MV,1612149963
13,Laas,46.6166,10.7002,275.93,100,90,2.06,IT,1612149963
14,Mikhaylovka,50.06,43.2379,273.15,86,73,0.89,RU,1612149963
15,Boa Vista,2.8197,-60.6733,300.15,69,0,4.12,BR,1612149963
16,Port-Cartier,50.0334,-66.8654,267.15,58,0,2.57,CA,1612149963
17,Punta Arenas,-53.15,-70.9167,285.15,62,90,13.38,CL,1612149963
18,Khatanga,71.9667,102.5,234.7,81,0,3.86,RU,1612149963
19,Tura,25.5198,90.2201,292.41,36,0,0.29,IN,1612149963
20,Longyearbyen,78.2186,15.6401,259.15,33,75,5.66,SJ,1612149963
21,Bandarbeyla,9.4942,50.8122,295.44,70,22,7.93,SO,1612149964
22,Yerofey Pavlovich,53.9667,121.9667,242.55,73,100,2.93,RU,1612149964
23,Lata,40.1629,-8.3327,287.04,94,94,2.43,PT,1612149964
24,Marawi,7.9986,124.2928,298.71,86,100,2.68,PH,1612149964
25,Castro,-24.7911,-50.0119,290.78,95,84,0.83,BR,1612149964
26,Nanortalik,60.1432,-45.2371,273.28,91,100,2.95,GL,1612149964
27,Nantucket,41.2835,-70.0995,272.04,74,90,2.06,US,1612149875
28,Carnarvon,-24.8667,113.6333,313.15,17,33,7.72,AU,1612149964
29,West Plains,36.7281,-91.8524,274.26,75,90,6.69,US,1612149964
30,Alpena,45.0617,-83.4327,268.15,73,1,3.09,US,1612149964
31,Nouakchott,18.0858,-15.9785,295.15,15,100,2.06,MR,1612149918
32,Nāwa,27.0167,75.0,288.36,33,0,1.64,IN,1612149964
33,Yar-Sale,66.8333,70.8333,249.15,89,100,3.91,RU,1612149964
34,Vila Velha,-20.3297,-40.2925,298.71,83,40,3.09,BR,1612149964
35,Phan Thiet,10.9333,108.1,300.6,58,100,3.28,VN,1612149731
36,Port Macquarie,-31.4333,152.9167,302.04,54,5,4.72,AU,1612149965
37,Klaksvík,62.2266,-6.589,269.15,93,98,2.57,FO,1612149965
38,Mīrābād,30.4362,61.8383,284.18,42,0,2.12,AF,1612149965
39,Hobart,-42.8794,147.3294,298.71,53,75,5.14,AU,1612149965
40,Cape Town,-33.9258,18.4232,290.93,72,0,9.77,ZA,1612149938
41,Hofn,64.2539,-15.2082,270.1,84,8,3.79,IS,1612149965
42,Curuguaty,-24.4694,-55.6945,295.94,97,100,1.97,PY,1612149965
43,Mataura,-46.1927,168.8643,297.16,42,37,2.29,NZ,1612149965
44,Bethel,41.3712,-73.414,266.48,62,100,0.89,US,1612149805
45,Chokurdakh,70.6333,147.9167,245.44,87,100,5.56,RU,1612149965
46,Port Alfred,-33.5906,26.891,292.59,86,94,2.68,ZA,1612149966
47,Ribeira Grande,38.5167,-28.7,290.51,84,99,14.17,PT,1612149966
48,Albany,42.6001,-73.9662,264.82,54,100,1.03,US,1612149671
49,Poum,-20.2333,164.0167,300.16,72,100,8.47,NC,1612149966
50,Hermanus,-34.4187,19.2345,289.26,80,97,6.57,ZA,1612149966
51,Rocha,-34.4833,-54.3333,293.09,81,100,4.37,UY,1612149966
52,Ushuaia,-54.8,-68.3,283.15,76,75,6.17,AR,1612149672
53,Zhigansk,66.7697,123.3711,231.59,77,51,2.36,RU,1612149967
54,Geraldton,-28.7667,114.6,311.15,16,8,10.29,AU,1612149967
55,Bonthe,7.5264,-12.505,297.75,89,0,2.08,SL,1612149967
56,Kalmunai,7.4167,81.8167,299.38,81,0,2.58,LK,1612149967
57,Mahébourg,-20.4081,57.7,301.15,74,40,5.14,MU,1612149856
58,Barrow,71.2906,-156.7887,246.15,76,1,5.14,US,1612149967
59,Ixtapa,20.7,-105.2,294.26,94,1,0.4,MX,1612149967
60,Bredasdorp,-34.5322,20.0403,289.26,80,94,4.9,ZA,1612149967
61,Shumskiy,54.8318,99.1328,245.01,83,2,0.88,RU,1612149967
62,Faanui,-16.4833,-151.75,300.38,75,48,5.13,PF,1612149967
63,Vaini,-21.2,-175.2,299.15,94,90,4.12,TO,1612149967
64,High Rock,26.6208,-78.2833,295.15,78,20,4.12,BS,1612149967
65,Atuona,-9.8,-139.0333,299.22,76,4,7.92,PF,1612149967
66,Novoaleksandrovsk,45.4948,41.2207,277.85,76,100,4.12,RU,1612149968
67,Kaeo,-35.1,173.7833,297.59,60,3,3.58,NZ,1612149968
68,Vila do Maio,15.1333,-23.2167,295.15,64,20,7.2,CV,1612149968
69,Comodoro Rivadavia,-45.8667,-67.5,290.15,59,0,2.57,AR,1612149968
70,Arraial do Cabo,-22.9661,-42.0278,297.9,85,100,11.5,BR,1612149968
71,Chapleau,47.8405,-83.4034,257.15,78,1,1.03,CA,1612149968
72,Salta,-24.7859,-65.4117,290.15,100,90,1.54,AR,1612149764
73,Hithadhoo,-0.6,73.0833,300.92,79,54,4.37,MV,1612149968
74,Qaanaaq,77.484,-69.3632,252.96,88,100,0.72,GL,1612149885
75,Tuatapere,-46.1333,167.6833,291.88,62,61,2.4,NZ,1612149968
76,Salalah,17.0151,54.0924,293.15,64,20,1.54,OM,1612149968
77,Sombrio,-29.1139,-49.6167,295.33,95,100,1.63,BR,1612149968
78,Longyan,25.1072,117.0225,297.59,36,53,0.45,CN,1612149968
79,Eydhafushi,5.1033,73.0708,300.98,75,79,5.55,MV,1612149670
80,New Norfolk,-42.7826,147.0587,298.71,38,100,1.34,AU,1612149969
81,East Stroudsburg,40.9995,-75.1813,265.37,87,100,1.34,US,1612149969
82,Torbay,47.6666,-52.7314,272.59,93,90,9.77,CA,1612149969
83,Jiuquan,39.7432,98.5174,268.72,75,0,1.44,CN,1612149969
84,Azare,11.6765,10.1948,291.47,26,2,3.03,NG,1612149969
85,Belawan,3.7755,98.6832,302.15,79,40,2.06,ID,1612149969
86,Poso,-1.3959,120.7524,303.24,58,91,1.96,ID,1612149969
87,Lompoc,34.6391,-120.4579,286.15,67,1,0.93,US,1612149969
88,Venice,27.0998,-82.4543,292.59,100,75,4.63,US,1612149890
89,Mount Gambier,-37.8333,140.7667,292.15,59,90,8.23,AU,1612149969
90,Ilulissat,69.2167,-51.1,260.15,52,75,3.09,GL,1612149969
91,Avarua,-21.2078,-159.775,300.15,78,75,2.57,CK,1612149969
92,Malanje,-9.5402,16.341,290.99,99,100,2.38,AO,1612149969
93,Dingle,10.9995,122.6711,300.96,74,53,6.16,PH,1612149969
94,Bonfim,3.0833,-59.95,299.23,70,100,4.51,BR,1612149970
95,Ust'-Charyshskaya Pristan',52.3934,83.6635,258.66,94,94,0.9,RU,1612149970
96,Ellsworth,44.5434,-68.4195,265.37,67,1,1.54,US,1612149970
97,Pevek,69.7008,170.3133,242.35,85,16,1.66,RU,1612149970
98,Thompson,55.7435,-97.8558,260.15,85,75,1.03,CA,1612149813
99,Serenje,-13.2325,30.2352,289.84,97,100,1.73,ZM,1612149970
100,Provideniya,64.3833,-173.3,254.37,89,100,11.1,RU,1612149970
101,Nemuro,43.3236,145.575,269.15,58,20,3.6,JP,1612149970
102,Padang,-0.9492,100.3543,302.25,60,91,0.36,ID,1612149970
103,Airai,-8.9266,125.4092,294.08,87,89,2.9,TL,1612149970
104,Prince Rupert,54.3161,-130.3201,279.15,81,90,2.57,CA,1612149970
105,Dikson,73.5069,80.5464,239.79,79,39,4.49,RU,1612149970
106,George Town,5.4112,100.3354,303.15,62,20,4.12,MY,1612149813
107,Lebu,-37.6167,-73.65,286.96,87,13,6.02,CL,1612149970
108,Ahipara,-35.1667,173.1667,294.68,58,3,3.51,NZ,1612149970
109,Alugan,12.2188,125.4808,300.35,82,97,6.27,PH,1612149971
110,Tyul'gan,52.3405,56.166,265.53,97,100,4.74,RU,1612149971
111,Manggar,-2.8833,108.2667,301.95,73,100,4.78,ID,1612149941
112,Kaniama,-7.5667,24.1833,292.36,96,100,1.07,CD,1612149971
113,Havre-St-Pierre,50.2334,-63.5986,260.15,78,1,3.09,CA,1612149875
114,Souillac,-20.5167,57.5167,301.15,74,40,5.14,MU,1612149971
